iter	Passed	Remaining
0	90	90112
1	95	47756
2	102	34148
3	109	27334
4	114	22829
5	118	19671
6	122	17383
7	127	15856
8	134	14850
9	141	14013
10	145	13090
11	149	12295
12	152	11612
13	156	11038
14	163	10748
15	170	10457
16	175	10160
17	179	9795
18	183	9466
19	186	9156
20	192	8961
21	198	8810
22	204	8666
23	208	8498
24	214	8358
25	219	8208
26	224	8076
27	229	7973
28	235	7901
29	241	7798
30	245	7664
31	248	7525
32	252	7398
33	258	7341
34	263	7278
35	267	7168
36	271	7056
37	274	6949
38	278	6851
39	282	6778
40	287	6731
41	293	6694
42	298	6648
43	303	6583
44	306	6513
45	310	6440
46	315	6388
47	320	6349
48	325	6319
49	331	6298
50	335	6238
51	339	6182
52	343	6132
53	349	6114
54	354	6099
55	361	6088
56	366	6056
57	369	6007
58	373	5958
59	378	5932
60	384	5924
61	390	5911
62	396	5894
63	400	5860
64	404	5817
65	410	5810
66	416	5804
67	423	5808
68	429	5795
69	434	5766
70	438	5738
71	446	5755
72	453	5758
73	460	5761
74	464	5734
75	469	5702
76	474	5685
77	480	5681
78	487	5680
79	492	5665
80	496	5633
81	500	5606
82	506	5597
83	514	5610
84	521	5608
85	525	5586
86	529	5559
87	534	5535
88	541	5542
89	547	5537
90	554	5534
91	558	5509
92	562	5487
93	567	5466
94	574	5469
95	580	5468
96	587	5472
97	592	5451
98	596	5431
99	603	5429
100	608	5420
101	616	5427
102	621	5415
103	625	5392
104	630	5371
105	635	5363
106	642	5358
107	648	5359
108	653	5344
109	658	5324
110	662	5307
111	670	5313
112	677	5319
113	685	5325
114	689	5309
115	694	5291
116	703	5306
117	709	5306
118	716	5306
119	720	5287
120	725	5268
121	731	5264
122	738	5267
123	745	5268
124	750	5251
125	754	5233
126	759	5220
127	766	5220
128	773	5225
129	781	5227
130	786	5214
131	791	5206
132	798	5208
133	805	5208
134	812	5206
135	817	5192
136	822	5178
137	828	5177
138	834	5170
139	841	5171
140	846	5157
141	851	5146
142	857	5139
143	864	5138
144	871	5140
145	877	5131
146	881	5117
147	887	5107
148	895	5112
149	902	5114
150	908	5108
151	913	5096
152	919	5089
153	926	5087
154	933	5087
155	938	5079
156	943	5067
157	948	5052
158	954	5049
159	961	5046
160	969	5052
161	973	5038
162	979	5027
163	985	5021
164	993	5025
165	1000	5024
166	1006	5018
167	1011	5007
168	1018	5006
169	1026	5009
170	1033	5010
171	1037	4994
172	1042	4982
173	1046	4970
174	1053	4968
175	1060	4966
176	1067	4963
177	1072	4952
178	1078	4944
179	1085	4945
180	1093	4946
181	1099	4942
182	1104	4930
183	1110	4922
184	1117	4923
185	1125	4924
186	1131	4920
187	1136	4909
188	1142	4900
189	1148	4895
190	1156	4898
191	1162	4893
192	1167	4882
193	1172	4870
194	1180	4873
195	1187	4871
196	1194	4869
197	1199	4858
198	1204	4848
199	1212	4849
200	1219	4846
201	1226	4844
202	1231	4833
203	1235	4821
204	1242	4817
205	1249	4814
206	1255	4810
207	1260	4799
208	1265	4788
209	1270	4779
210	1277	4776
211	1284	4773
212	1290	4766
213	1295	4756
214	1299	4745
215	1306	4742
216	1312	4737
217	1319	4733
218	1324	4722
219	1328	4710
220	1334	4704
221	1341	4702
222	1349	4701
223	1355	4694
224	1359	4683
225	1365	4676
226	1372	4674
227	1380	4672
228	1385	4665
229	1390	4654
230	1395	4646
231	1405	4653
232	1413	4653
233	1418	4643
234	1423	4632
235	1427	4620
236	1433	4614
237	1441	4613
